TEAMS,GP,PA,PA/G,YDS/G,PYDS,PYDS/G,RYDS,RYDS/G,SCK,SCK YDS,DEF INT,INTTD,FF,FUMR,FUMTD,HUR,PDEF,SFTY
Los Angeles Chargers,17,301,17.7,324.4,"3,517",206.9,"1,997",117.5,46.0,245,15,1,8,6,0,34.0,87,0
Philadelphia Eagles,17,303,17.8,278.4,"2,961",174.2,"1,771",104.2,41.0,305,13,1,22,13,0,30.0,90,0
Denver Broncos,17,311,18.3,317.1,"3,752",220.7,"1,639",96.4,63.0,360,15,3,12,10,2,60.0,68,2
Kansas City Chiefs,17,326,19.2,320.6,"3,720",218.8,"1,731",101.8,39.0,250,13,0,15,7,1,62.0,71,0
Minnesota Vikings,17,332,19.5,335.4,"4,114",242.0,"1,588",93.4,49.0,345,24,2,12,9,1,63.0,95,0
Green Bay Packers,17,338,19.9,314.5,"3,658",215.2,"1,689",99.4,45.0,301,17,1,16,14,0,62.0,56,0
Detroit Lions,17,342,20.1,342.4,"4,148",244.0,"1,672",98.4,37.0,256,16,1,13,8,0,80.0,81,0
Pittsburgh Steelers,17,347,20.4,326.7,"3,876",228.0,"1,678",98.7,40.0,275,17,0,22,16,1,38.0,77,0
Baltimore Ravens,17,361,21.2,324.2,"4,150",244.1,"1,361",80.1,54.0,318,12,2,12,5,0,49.0,82,0
Miami Dolphins,17,364,21.4,314.4,"3,582",210.7,"1,763",103.7,35.0,247,10,0,8,6,0,58.0,69,0
Buffalo Bills,17,368,21.6,341.5,"3,843",226.1,"1,963",115.5,39.0,257,16,2,18,16,1,65.0,60,1
Seattle Seahawks,17,368,21.6,332.7,"3,603",211.9,"2,053",120.8,45.0,327,13,2,14,5,2,47.0,74,1
Chicago Bears,17,370,21.8,354.2,"3,705",217.9,"2,317",136.3,40.0,254,11,1,17,13,0,42.0,66,0
Houston Texans,17,372,21.9,315.0,"3,417",201.0,"1,938",114.0,49.0,336,19,1,11,10,2,51.0,90,1
Arizona Cardinals,17,379,22.3,342.5,"3,674",216.1,"2,149",126.4,41.0,256,9,0,17,8,0,53.0,63,2
Tampa Bay Buccaneers,17,383,22.5,341.8,"4,147",243.9,"1,663",97.8,46.0,317,7,0,16,11,1,61.0,62,1
Los Angeles Rams,17,386,22.7,353.1,"3,793",223.1,"2,210",130.0,38.0,308,13,2,10,7,1,59.0,73,1
Washington Commanders,17,391,23.0,326.9,"3,221",189.5,"2,337",137.5,43.0,271,7,1,16,10,0,47.0,60,0
New Orleans Saints,17,398,23.4,379.9,"4,055",238.5,"2,404",141.4,39.0,240,14,0,12,3,0,63.0,93,1
New York Jets,17,404,23.8,313.8,"3,275",192.6,"2,059",121.1,43.0,313,7,0,16,10,0,55.0,57,0
New York Giants,17,415,24.4,346.8,"3,580",210.6,"2,316",136.2,45.0,289,5,0,16,10,0,43.0,60,0
New England Patriots,17,417,24.5,342.9,"3,596",211.5,"2,233",131.4,28.0,153,7,0,14,5,1,46.0,73,0
Atlanta Falcons,17,423,24.9,345.2,"3,817",224.5,"2,051",120.6,31.0,187,12,3,12,6,1,58.0,66,1
Indianapolis Colts,17,427,25.1,361.2,"3,899",229.4,"2,241",131.8,36.0,243,16,0,18,9,1,48.0,57,0
Cincinnati Bengals,17,434,25.5,348.3,"3,799",223.5,"2,122",124.8,36.0,217,15,2,14,10,0,52.0,79,1
Las Vegas Raiders,17,434,25.5,333.1,"3,676",216.2,"1,987",116.9,38.0,313,10,1,6,3,0,56.0,81,0
Cleveland Browns,17,435,25.6,342.1,"3,611",212.4,"2,205",129.7,41.0,267,4,0,12,8,1,54.0,60,1
Jacksonville Jaguars,17,435,25.6,389.9,"4,375",257.4,"2,254",132.6,34.0,230,6,0,5,3,1,45.0,75,0
San Francisco 49ers,17,436,25.6,317.4,"3,278",192.8,"2,118",124.6,37.0,198,11,1,13,6,0,37.0,72,0
Tennessee Titans,17,460,27.1,311.2,"3,014",177.3,"2,277",133.9,32.0,202,11,0,10,7,0,31.0,53,2
Dallas Cowboys,17,468,27.5,355.2,"3,708",218.1,"2,331",137.1,52.0,337,13,1,18,9,0,76.0,70,0
Carolina Panthers,17,534,31.4,404.5,"3,820",224.7,"3,057",179.8,32.0,223,9,0,8,8,0,37.0,68,0
